"SAID","sample_address","zipcode","soil_remediation_status","soil_remediation_date","soil_sample_date","high_lead_result"
16413,"3417 ARBOR ST",68105,"Ineligible",NA,2004-10-19,158.38
33099,"2412 SPAULDING ST",68111,"Ineligible",NA,2005-10-25,85.01
80099,"3101 ST MARYS AV",68105,"Ineligible",NA,2010-06-04,108
19628,"1621 S 7 ST",68108,"Ineligible",NA,2013-08-21,220
19044,"1729 S 15 ST",68108,"Remediated",2011-10-21,2003-08-26,532.27
59993,"6120 RUGGLES ST",68104,NA,NA,NA,NA
35699,"4022 SARATOGA ST",68111,NA,NA,NA,NA
78828,"6723 OGDEN ST",68104,NA,NA,NA,NA
19223,"1722 S 16 ST",68108,NA,NA,NA,NA
82307,"4528 MARCY ST",68106,"Ineligible",NA,2008-09-17,154
51227,"318 S 50 AV",68132,"Remediated",2013-07-31,2004-12-03,410.3
91292,NA,NA,NA,NA,NA,NA
73044,"139 S 41 ST",68131,NA,NA,NA,NA
65097,"6336 READ ST",68152,NA,NA,NA,NA
59971,"6038 RUGGLES ST",68104,NA,NA,NA,NA
41684,"2752 IOWA ST",68112,"Ineligible",NA,2003-12-22,164.72
19190,"1720 1/2 S 13 ST",68108,"Remediated",2008-09-18,2008-06-12,1110
44590,"2319 MONROE ST",68107,"Ineligible",NA,2004-10-20,169.62
58928,"6124 PINKNEY ST",68104,NA,NA,NA,NA
11608,"4217 S 23 ST",68107,"Remediated",2008-09-30,2004-08-31,623.33
63056,"131 S 70 ST",68132,NA,NA,NA,NA
86383,"1514 S 61 AV",68106,NA,NA,NA,NA
73240,"5068 VERNON CR",68104,NA,NA,NA,NA
27746,"4220 GRANT ST",68111,NA,NA,NA,NA
40673,"2418 TITUS AV",68112,"Ineligible",NA,2003-12-29,202.64
39101,"6204 N 31 AV",68111,"Remediated",2014-06-08,2003-11-09,508.49
43059,"9432 N 30 ST",68112,NA,NA,NA,NA
13061,"1804 ONTARIO ST",68108,"Ineligible",NA,2003-09-11,331.02
78095,"1204 S 60 ST",68106,NA,NA,NA,NA
70473,"2411 N 51 ST",68104,NA,NA,NA,NA
65311,"6911 N 64 ST",68152,NA,NA,NA,NA
51303,"303 S 51 ST",68132,"Remediated",2013-11-14,2005-09-28,407.94
45471,"6052 S 40 ST",68107,"Ineligible",NA,2004-11-22,219.29
172,"1426 S 12 ST",68108,"Eligible",NA,1999-07-13,908
82946,"4843 MANDERSON ST",68104,NA,NA,NA,NA
2259,"5501 S 30 ST",68107,"Ineligible",NA,2001-08-24,95.3
